Canonical ID,Concept ID,Pool,Question,Correct Answer,Correct Index,Primary Skill,Common Error,Feedback,Hash Verified
P52B-S3-MEQS-L-002,macroeconomic-equilibrium-and-shocks,legendary,An economy experiences an adverse supply shock. Policymakers fully stabilize real output with expansionary demand policy. What tradeoff follows?,"Output is stabilized, but inflation pressure becomes stronger.",2,evaluate_supply_shock_policy,Assuming demand policy can reverse a supply shock without an inflation cost.,"Expansionary demand policy can offset the output loss from an adverse supply shock, but it intensifies inflation pressure.",True
P52B-S3-MEQS-L-003,macroeconomic-equilibrium-and-shocks,legendary,Real output rises while the price level falls. Which pair of simultaneous shifts can produce that pattern?,"Both curves shift right, with the supply shift dominating the price effect.",3,infer_combined_shocks,Matching one observed outcome to one curve while ignoring the second observed outcome.,"Higher output can come from either shift, but a falling price level requires the rightward supply shift to dominate the demand effect.",True
P52B-S3-MEQS-B1-001,macroeconomic-equilibrium-and-shocks,boss_easy,A sharp fall in household spending is primarily what kind of macroeconomic disturbance?,A negative aggregate-demand shock.,0,classify_demand_shock,Confusing a spending disturbance with a production-cost disturbance.,"Household spending is a component of aggregate demand, so a sharp decline shifts aggregate demand left.",True
P52B-S3-MEQS-B1-002,macroeconomic-equilibrium-and-shocks,boss_easy,An unexpected increase in energy costs usually shifts which curve first?,Short-run aggregate supply shifts left.,1,classify_supply_shock,Treating a production-cost shock as a demand shock.,"Higher energy costs raise firms’ costs and reduce output supplied at each price level, shifting short-run aggregate supply left.",True
P52B-S3-MEQS-B1-003,macroeconomic-equilibrium-and-shocks,boss_easy,A negative aggregate-demand shock normally causes what short-run combination?,Lower real output and a lower price level.,2,trace_demand_shock,Reversing the price-level effect of a demand contraction.,A leftward aggregate-demand shift reduces both equilibrium output and the price level in the short run.,True
P52B-S3-MEQS-B2-001,macroeconomic-equilibrium-and-shocks,boss_medium,"A surge in business investment shifts aggregate demand right. In the short run, what happens other things equal?",Real output and the price level both rise.,3,trace_demand_shock,Using supply-shock outcomes for a demand expansion.,A rightward aggregate-demand shift moves the economy to higher short-run output and a higher price level.,True
P52B-S3-MEQS-B2-002,macroeconomic-equilibrium-and-shocks,boss_medium,A widespread crop failure raises food-production costs. Which short-run outcome is most likely?,Real output falls while the price level rises.,0,trace_supply_shock,Forgetting that an adverse supply shock creates stagflation pressure.,"An adverse supply shock shifts short-run aggregate supply left, lowering output and raising the price level.",True
P52B-S3-MEQS-B2-003,macroeconomic-equilibrium-and-shocks,boss_medium,Aggregate demand falls while short-run aggregate supply is unchanged. Which policy direction would most directly offset the output loss?,Expansionary demand policy.,1,choose_stabilization_response,Choosing contractionary policy during a demand-driven recession.,Expansionary fiscal or monetary policy can shift aggregate demand right and counter a negative demand shock.,True
P52B-S3-MEQS-B3-001,macroeconomic-equilibrium-and-shocks,boss_hard,Aggregate demand rises while short-run aggregate supply falls. What can be predicted with certainty?,"The price level rises, while real output is uncertain.",2,trace_combined_shocks,Claiming certainty about output when the two shocks move output in opposite directions.,"Both shifts raise the price level, but aggregate demand raises output while adverse supply lowers it.",True
P52B-S3-MEQS-B3-002,macroeconomic-equilibrium-and-shocks,boss_hard,Aggregate demand falls while short-run aggregate supply rises. Which outcome is certain?,"The price level falls, while real output is uncertain.",3,trace_combined_shocks,Missing the shared price-level direction of the two shifts.,"A demand contraction and favorable supply shock both lower the price level, but they push output in opposite directions.",True
P52B-S3-MEQS-B3-003,macroeconomic-equilibrium-and-shocks,boss_hard,"After an adverse supply shock, policymakers use expansionary demand policy to restore output. Which risk remains?",The price level may rise even more than it did from the original shock.,0,evaluate_supply_shock_policy,Assuming output stabilization eliminates the inflation tradeoff.,"Demand expansion can support output after a supply shock, but it adds inflation pressure rather than repairing supply.",True
P52B-S3-MEQS-LB-001,macroeconomic-equilibrium-and-shocks,legendaryBoss,"Government purchases rise while a technology breakthrough lowers unit costs. If output rises but the price level is unchanged, what does the evidence imply?",The opposing price effects approximately offset while both shifts raise output.,1,infer_combined_shocks,Assuming an unchanged price level means no macroeconomic shifts occurred.,"Higher government purchases shift aggregate demand right and better technology shifts short-run aggregate supply right. Both raise output, while their price effects can offset.",True
P52B-S3-MEQS-LB-002,macroeconomic-equilibrium-and-shocks,legendaryBoss,"Oil prices rise sharply and the central bank expands aggregate demand enough to keep real output unchanged. Compared with the initial equilibrium, what is most likely?",The price level is higher because both the supply shock and policy raise it.,2,evaluate_supply_shock_policy,Equating stable output with a stable price level.,"The adverse supply shock raises the price level, and the demand expansion used to stabilize output adds additional price pressure.",True
P52B-S3-MEQS-LB-003,macroeconomic-equilibrium-and-shocks,legendaryBoss,"Consumer spending collapses at the same time firms adopt a major cost-saving technology. Prices fall sharply, but output changes little. Which interpretation fits best?",A negative demand shock and positive supply shock had offsetting output effects.,3,trace_combined_shocks,Using one observed variable to infer only one curve shifted.,"Both shocks lower the price level, while one lowers output and the other raises it. Similar magnitudes can leave output nearly unchanged.",True
P52B-S3-MFM-H-001,money-functions-and-measures,hard,"A household moves $4,000 from a checking account into a retail money-market mutual fund. Under standard textbook definitions, what happens?",M1 falls while M2 is unchanged.,0,trace_reclassification_between_m1_m2,Treating movement between M1 and non-M1 M2 assets as a change in total M2.,"Checking deposits are in M1 and M2, while retail money-market mutual funds are in M2 but not M1. The transfer lowers M1 without changing M2.",True
P52B-S3-MFM-H-002,money-functions-and-measures,hard,Which asset is included in M2 but normally excluded from M1?,A small-denomination time deposit.,1,m1_m2_components,Placing every liquid financial asset in M1.,Small time deposits are near-money assets included in M2 but not in the narrower M1 measure.,True
P52B-S3-MFM-EL-001,money-functions-and-measures,elite,A payment app transfers balances instantly from users’ checking accounts but holds no separate monetary balance. How should the app affect measured money?,It changes payment convenience without creating a new money balance.,2,classify_payment_technology,Counting a payment method as a separate stock of money when it only accesses an existing deposit.,"A payment platform that merely accesses checking deposits changes how money is used, not how much money exists.",True
P52B-S3-MFM-EL-002,money-functions-and-measures,elite,"A store lists prices in dollars, accepts dollars at checkout, and households keep dollars for future purchases. Which statement is correct?","Money is serving as unit of account, medium of exchange, and store of value.",3,identify_money_functions,Assuming one transaction can illustrate only one function of money.,"Money can perform all three functions in the same setting: quoting prices, settling purchases, and carrying purchasing power forward.",True
P52B-S3-MFM-EL-003,money-functions-and-measures,elite,"Inflation accelerates, but dollars remain widely accepted and prices continue to be quoted in dollars. Which money function is most directly weakened?","Store of value, because purchasing power erodes more quickly.",0,functions_of_money,Assuming inflation eliminates every function of money equally.,Rapid inflation most directly weakens money’s ability to preserve purchasing power over time.,True
P52B-S3-MFM-L-001,money-functions-and-measures,legendary,"Currency held by the public rises by $20 billion, checking deposits fall by $20 billion, and small time deposits are unchanged. What happens to M1 and M2?",Both aggregates are unchanged because one M1 component replaces another.,1,calculate_m1_m2_reclassification,Adding gross component changes without recognizing an offset within both aggregates.,Currency and checking deposits are both in M1 and M2. An equal transfer between them changes composition but not either total.,True
P52B-S3-MFM-L-002,money-functions-and-measures,legendary,A new digital wallet stores claims on bank checking deposits and the same balances are still reported as checking deposits. How should statisticians avoid double counting?,Count the underlying deposit once and do not add the wallet claim again.,2,avoid_money_measure_double_counting,Counting two records of the same underlying monetary claim as two balances.,"A wallet claim backed one-for-one by an already-counted checking deposit is another access channel, not a second stock of money.",True
P52B-S3-MFM-L-003,money-functions-and-measures,legendary,An economy replaces an unstable commodity money with fiat currency. Which condition is most important for the fiat currency to function well?,Users must trust its acceptance and the institutions supporting its value.,3,fiat_money_acceptance,Assuming fiat money requires intrinsic commodity value.,"Fiat money works because of general acceptability, legal and institutional support, and confidence in its purchasing power.",True
P52B-S3-MFM-B2-001,money-functions-and-measures,boss_medium,Which item belongs in M1 under standard textbook definitions?,A balance in a checking account.,0,m1_m2_components,Including broad near-money assets in the narrow M1 measure.,Checking deposits are immediately spendable and are included in M1.,True
P52B-S3-MFM-B2-002,money-functions-and-measures,boss_medium,A restaurant posts every menu price in dollars. Which function of money is being used?,Unit of account.,1,identify_money_functions,Confusing the act of quoting prices with settling a transaction.,Money serves as a unit of account when it provides the common measurement used to state prices.,True
P52B-S3-MFM-B2-003,money-functions-and-measures,boss_medium,A saver moves funds from checking to a small time deposit. Which result is correct?,"M1 decreases, but M2 does not change.",2,trace_reclassification_between_m1_m2,Treating an internal transfer within M2 as a change in M2.,Checking is in M1 and M2; a small time deposit is in M2 only. The transfer lowers M1 but leaves M2 unchanged.,True
P52B-S3-MFM-B3-001,money-functions-and-measures,boss_hard,A bank customer withdraws $500 from checking and holds the cash. What happens to M1?,M1 is unchanged because one M1 component replaces another.,3,trace_m1_component_transfer,Looking at one component change without accounting for the offsetting M1 component.,"Currency held by the public and checking deposits are both in M1, so the transfer changes composition rather than the total.",True
P52B-S3-MFM-B3-002,money-functions-and-measures,boss_hard,An online service lets users pay merchants directly from savings accounts. What is the safest conclusion about money measurement?,Classification still depends on the official definition of the account.,0,classify_payment_technology,Assuming technology alone automatically changes official monetary definitions.,A new payment channel can make an asset more usable without automatically changing how statistical agencies classify the underlying account.,True
P52B-S3-MFM-B3-003,money-functions-and-measures,boss_hard,"Prices are quoted in dollars, workers accept dollars as wages, and households save dollars for emergencies. What does this example show?",Money is performing all three primary functions.,1,identify_money_functions,Selecting one function when the scenario demonstrates several.,"The dollar measures value, settles transactions, and transfers purchasing power over time.",True
P52B-S3-MFM-LB-001,money-functions-and-measures,legendaryBoss,M1 equals $900 billion and M2 equals $3.4 trillion. Households transfer $80 billion from checking deposits to small time deposits. What are the new values?,M1 is $820 billion and M2 remains $3.4 trillion.,2,calculate_m1_m2_reclassification,Subtracting the transfer from both aggregates instead of recognizing it remains inside M2.,The transfer leaves the broad M2 total unchanged but removes $80 billion from the narrower M1 measure.,True
P52B-S3-MFM-LB-002,money-functions-and-measures,legendaryBoss,A wallet provider reports $10 billion of customer balances that are fully backed by $10 billion already counted in bank checking deposits. What is the correct measurement treatment?,Do not add the wallet balance unless it is a separate monetary liability.,3,avoid_money_measure_double_counting,Double counting an access claim and the underlying deposit.,"If the wallet balance is simply a claim on an already-counted deposit, adding both would overstate the money stock.",True
P52B-S3-MPT-H-001,monetary-policy-tools,hard,"The central bank raises the interest rate paid on reserve balances. What response is most likely, other things equal?",Banks are more willing to hold reserves and less willing to expand lending.,0,interest_on_reserves_policy,Reversing the incentive effect of higher interest paid on reserves.,A higher return on reserve balances makes reserve holding more attractive and tends to restrain lending and money creation.,True
P52B-S3-MPT-B2-001,monetary-policy-tools,boss_medium,"To increase banking-system reserves through open-market operations, the central bank should:",Buy government securities.,1,select_policy_tool,Reversing the reserve effect of an open-market purchase.,"When the central bank buys securities, it pays by adding reserves to the banking system.",True
P52B-S3-MPT-B2-002,monetary-policy-tools,boss_medium,What is the usual effect of lowering the discount rate?,Borrowing from the central bank becomes less costly for banks.,2,choose_fed_tool_effect,Confusing the discount rate with reserve requirements or open-market sales.,A lower discount rate reduces the cost of borrowing reserves directly from the central bank.,True
P52B-S3-MPT-B2-003,monetary-policy-tools,boss_medium,Which policy action is contractionary?,Selling government securities in the open market.,3,select_policy_tool,Selecting an expansionary tool as contractionary.,An open-market sale withdraws reserves and tends to reduce money and credit expansion.,True
P52B-S3-MPT-B3-001,monetary-policy-tools,boss_hard,The central bank buys securities but simultaneously raises the interest paid on reserves. Why might lending rise by less than expected?,"The purchase adds reserves, but the higher reserve return encourages banks to hold them.",0,analyze_mixed_policy_tools,Assuming every tool in a policy package pushes bank lending in the same direction.,"The open-market purchase is expansionary, while a higher return on reserves can weaken the lending response.",True
P52B-S3-MPT-B3-002,monetary-policy-tools,boss_hard,A central bank wants to drain reserves quickly without changing reserve requirements. Which action is most direct?,Sell government securities and debit reserve accounts.,1,select_policy_tool,Choosing an expansionary action when the goal is to remove reserves.,An open-market sale receives payment from the banking system and reduces reserves directly.,True
P52B-S3-MPT-B3-003,monetary-policy-tools,boss_hard,"Reserve requirements are lowered, but banks expect severe loan losses and keep the newly available reserves idle. What does this illustrate?",Policy can expand lending capacity without guaranteeing that banks will lend.,2,diagnose_policy_constraint,Treating potential money creation as automatic actual money creation.,"Lower reserve requirements free reserves for lending, but risk perceptions and bank choices can weaken the actual expansion.",True
P52B-S3-LPMM-L-001,liquidity-preference-and-money-market,legendary,Real income rises and the central bank increases the money supply enough to leave the equilibrium interest rate unchanged. What must be true?,The money-supply increase offset the rise in money demand.,3,money_market_offsetting_shifts,Assuming an unchanged interest rate means neither curve shifted.,Higher income raises money demand. A sufficiently large increase in money supply can offset that pressure and leave the equilibrium interest rate unchanged.,True
P52B-S3-LPMM-B1-001,liquidity-preference-and-money-market,boss_easy,"In the liquidity-preference model, the opportunity cost of holding money is the:",Interest income forgone by not holding interest-bearing assets.,0,liquidity_preference_definition,Confusing the opportunity cost of money with a price index or reserve rule.,Holding money sacrifices the interest that could have been earned on bonds or other interest-bearing assets.,True
P52B-S3-LPMM-B1-002,liquidity-preference-and-money-market,boss_easy,"If the money supply increases while money demand is unchanged, the equilibrium interest rate tends to:",Fall.,1,read_money_market_equilibrium,Reversing the interest-rate effect of a rightward money-supply shift.,More money supplied at each interest rate creates excess money balances until the interest rate falls.,True
P52B-S3-LPMM-B1-003,liquidity-preference-and-money-market,boss_easy,Which event shifts money demand to the right?,An increase in real income and transactions.,2,explain_money_demand_shift,Selecting a money-supply event as a money-demand shifter.,Higher income generates more transactions and raises the quantity of money people want to hold at each interest rate.,True
P52B-S3-LPMM-B2-001,liquidity-preference-and-money-market,boss_medium,The price level rises while the nominal money supply is fixed. What happens in the money market?,Money demand rises and the equilibrium interest rate increases.,3,trace_price_level_to_interest_rate,Ignoring the transaction-money demand created by a higher price level.,"A higher price level increases nominal transaction needs, shifting money demand right and raising the interest rate with fixed supply.",True
P52B-S3-LPMM-B2-002,liquidity-preference-and-money-market,boss_medium,"The central bank increases the money supply. Through the interest-rate effect, what happens next?","The interest rate falls, encouraging investment and aggregate demand.",0,connect_money_market_to_ad_slope,Reversing the monetary-policy transmission chain.,"A larger money supply lowers the equilibrium interest rate, which tends to increase interest-sensitive spending.",True
P52B-S3-LPMM-B2-003,liquidity-preference-and-money-market,boss_medium,Real income falls while the money supply is fixed. What is the likely equilibrium change?,Money demand falls and the interest rate decreases.,1,trace_income_to_interest_rate,Reversing the money-demand response to lower transaction volume.,"Lower real income reduces transactions, shifts money demand left, and lowers the equilibrium interest rate.",True
P52B-S3-LPMM-LB-001,liquidity-preference-and-money-market,legendaryBoss,The price level rises and shifts money demand right. The central bank wants to keep the interest rate unchanged. What action fits the model?,Increase the money supply enough to match the higher money demand.,2,stabilize_interest_rate_after_md_shift,Using contractionary policy to offset a rightward money-demand shift.,"To prevent the interest rate from rising when money demand shifts right, the central bank must shift money supply right as well.",True
P52B-S3-GDPM-B2-001,gdp-measurement,boss_medium,Which transaction is included in current-year GDP?,A newly produced refrigerator purchased by a household.,3,gdp_counting_rules,"Counting asset transfers, used goods, or unpaid household work as current production.","GDP includes newly produced final goods and services, not transfers of existing assets or unpaid household production.",True
P52B-S3-GDPM-B2-002,gdp-measurement,boss_medium,A bakery buys flour for $2 and sells bread to a household for $5. How much does the bread transaction add to GDP if the flour was produced this year?,"$5, because the final sale already includes the flour’s value.",0,intermediate_vs_final_goods,Double counting an intermediate input and the final product.,Counting the $5 final bread sale captures the value of the flour and the bakery’s value added without double counting.,True
P52B-S3-GDPM-B2-003,gdp-measurement,boss_medium,Why does total income equal total expenditure in the national accounts?,Each transaction is spending for a buyer and income for a seller.,1,income_expenditure_identity,Treating the accounting identity as a behavioral claim that everyone spends all income.,The same transaction is recorded from two sides: one party’s expenditure is another party’s income.,True
P52B-S3-GDPM-B3-001,gdp-measurement,boss_hard,A domestic firm produces a machine this year but does not sell it until next year. How is the machine treated this year?,It is counted as inventory investment in this year’s GDP.,2,gdp_counting_rules,Assuming unsold output is not counted until the final sale.,"Newly produced unsold goods enter inventories, which are counted as investment in the year of production.",True
P52B-S3-GDPM-B3-002,gdp-measurement,boss_hard,A U.S.-owned factory located in Mexico produces a car. Which statement is correct for U.S. GDP?,The car is excluded because it was produced outside the United States.,3,domestic_production_boundary,Using ownership instead of location to define domestic product.,"GDP is based on production within a country’s borders, regardless of the producer’s nationality.",True
P52B-S3-GDPM-B3-003,gdp-measurement,boss_hard,A homeowner buys paint for $200 and paints the house without pay. What enters GDP?,"The $200 market purchase of paint, but not the unpaid painting service.",0,gdp_counting_rules,"Excluding a purchased input because the final service is unpaid, or imputing all household labor.","The market purchase of paint is counted, while unpaid household labor generally is not recorded in GDP.",True
P52B-S3-MEQ-E-001,market-equilibrium,easy,"At the equilibrium price, quantity demanded is:",Equal to quantity supplied.,1,equilibrium_definition,"Defining equilibrium as a shortage, surplus, or unrelated quantities.",Market equilibrium occurs at the price where buyers’ quantity demanded equals sellers’ quantity supplied.,True
P52B-S3-MEQ-EL-001,market-equilibrium,elite,"Demand and supply both increase. The equilibrium quantity rises, but the equilibrium price is unchanged. What does this reveal?","The price effects offset, while both shifts raise equilibrium quantity.",2,simultaneous_shifts,Assuming an unchanged price means the market experienced no shifts.,"A demand increase raises price and quantity, while a supply increase lowers price and raises quantity. Equal price effects can cancel while quantity rises.",True
P52B-S3-MEQ-B1-001,market-equilibrium,boss_easy,A market price below equilibrium creates a:,Shortage.,3,shortage_identification,Reversing shortage and surplus conditions.,"Below equilibrium, quantity demanded exceeds quantity supplied, creating a shortage.",True
P52B-S3-MEQ-B1-002,market-equilibrium,boss_easy,What pressure does a surplus create in an unregulated market?,Sellers lower prices to clear unwanted inventories.,0,surplus_price_pressure,Reversing the price adjustment associated with a surplus.,"When quantity supplied exceeds quantity demanded, sellers compete to clear inventory by lowering price.",True
P52B-S3-MEQ-B1-003,market-equilibrium,boss_easy,"If demand increases while supply is unchanged, equilibrium price and quantity usually:",Both increase.,1,demand_shift_equilibrium_prediction,Using the supply-shift outcome for a demand increase.,A rightward demand shift moves the equilibrium up along the supply curve to a higher price and quantity.,True
P52B-S3-MEQ-B3-001,market-equilibrium,boss_hard,Demand increases while supply decreases. Which equilibrium outcome is certain?,The equilibrium price rises.,2,double_shift_ambiguous_quantity,Claiming certainty about quantity when the two shifts move quantity in opposite directions.,"Both shifts raise price, while demand raises quantity and lower supply reduces quantity.",True
P52B-S3-MEQ-B3-002,market-equilibrium,boss_hard,Both demand and supply shift left in the same market. Which equilibrium result can be stated without knowing the shift sizes?,The equilibrium quantity falls.,3,double_shift_ambiguous_price,Claiming certainty about price when both curves shift left.,"Both shifts reduce equilibrium quantity, but their price effects oppose each other.",True
P52B-S3-MEQ-B3-003,market-equilibrium,boss_hard,"At the current price, quantity demanded is 400 and quantity supplied is 520. What adjustment is expected without a price control?",A surplus pushes the price downward toward equilibrium.,0,surplus_market_adjustment,Treating a surplus as a shortage or confusing movement along curves with shifts.,"Quantity supplied exceeds quantity demanded, so sellers lower price, increasing quantity demanded and reducing quantity supplied along the curves.",True
P52B-S3-MEQ-R-001,market-equilibrium,repair,"At the current price, quantity demanded exceeds quantity supplied. What market condition exists?",A shortage exists because buyers want more than sellers offer.,1,surplus_shortage_identification,Reversing shortage and surplus or treating disequilibrium as a curve shift.,"When quantity demanded is greater than quantity supplied at the current price, the market has a shortage and upward price pressure.",True
